,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
0,2020-12-18 13:00:00.000000000,2020-12-18 13:00:02.000000000,1.0,0.501,1.924,6.664,0.499,0.967,1,1,emg6+emg6- 77,1
1,2020-12-18 13:00:02.000000000,2020-12-18 13:00:04.000000000,1.0,0.627,2.056,7.39,0.515,0.978,1,1,emg6+emg6- 77,1
2,2020-12-18 13:00:04.000000000,2020-12-18 13:00:06.000000000,0.857,0.82,1.333,3.494,0.484,0.975,1,1,emg6+emg6- 77,1
3,2020-12-18 13:00:06.000000000,2020-12-18 13:00:08.000000000,1.0,0.499,0.884,2.709,0.468,0.93,1,1,emg6+emg6- 77,1
4,2020-12-18 13:00:08.000000000,2020-12-18 13:00:10.000000000,1.0,0.482,1.817,5.48,0.433,0.991,1,1,emg6+emg6- 77,1
5,2020-12-18 13:00:10.000000000,2020-12-18 13:00:12.000000000,1.0,0.448,1.26,3.291,0.451,0.966,1,1,emg6+emg6- 77,1
6,2020-12-18 13:00:12.000000000,2020-12-18 13:00:14.000000000,0.8,0.831,1.778,5.102,0.45,0.987,1,1,emg6+emg6- 77,1
7,2020-12-18 13:00:14.000000000,2020-12-18 13:00:16.000000000,1.0,0.686,1.209,4.051,0.471,0.939,1,1,emg6+emg6- 77,1
8,2020-12-18 13:00:16.000000000,2020-12-18 13:00:18.000000000,0.667,0.599,1.343,3.97,0.48,0.959,1,1,emg6+emg6- 77,1
9,2020-12-18 13:00:18.000000000,2020-12-18 13:00:20.000000000,0.5,0.547,1.461,4.721,0.495,0.961,1,1,emg6+emg6- 77,1
10,2020-12-18 13:00:20.000000000,2020-12-18 13:00:22.000000000,0.5,0.465,0.809,3.146,0.513,0.933,0,0,emg6+emg6- 77,0
11,2020-12-18 13:00:22.000000000,2020-12-18 13:00:24.000000000,0.8,0.865,0.993,4.6,0.503,0.965,1,1,emg6+emg6- 77,1
12,2020-12-18 13:00:24.000000000,2020-12-18 13:00:26.000000000,0.667,0.908,1.135,2.49,0.492,0.984,1,1,emg6+emg6- 77,1
13,2020-12-18 13:00:26.000000000,2020-12-18 13:00:28.000000000,1.0,0.507,0.974,3.785,0.457,0.937,1,1,emg6+emg6- 77,1
14,2020-12-18 13:00:28.000000000,2020-12-18 13:00:30.000000000,0.571,0.544,0.995,0.324,0.532,0.918,0,0,emg6+emg6- 77,0
15,2020-12-18 13:00:30.000000000,2020-12-18 13:00:32.000000000,1.0,0.602,0.138,-0.385,0.519,0.899,0,0,emg6+emg6- 77,0
16,2020-12-18 13:00:32.000000000,2020-12-18 13:00:34.000000000,0.857,0.721,0.565,0.652,0.466,0.905,1,1,emg6+emg6- 77,1
17,2020-12-18 13:00:34.000000000,2020-12-18 13:00:36.000000000,0.667,0.538,1.187,3.402,0.501,0.966,1,1,emg6+emg6- 77,1
18,2020-12-18 13:00:36.000000000,2020-12-18 13:00:38.000000000,1.0,0.606,1.034,2.843,0.421,0.995,1,1,emg6+emg6- 77,1
19,2020-12-18 13:00:38.000000000,2020-12-18 13:00:40.000000000,0.667,0.598,1.378,3.722,0.483,0.986,1,1,emg6+emg6- 77,1
20,2020-12-18 13:00:40.000000000,2020-12-18 13:00:42.000000000,0.667,0.567,1.245,3.264,0.513,0.952,1,1,emg6+emg6- 77,1
